,instance,runtime,init-size,best-size,init-cost,best-cost,optimal-cost,hit,relative-error
0,42,30.761557522004296,79,65,580.0,529.0,512,False,0.033203125
1,43,30.799936406001507,81,67,596.0,534.0,516,False,0.03488372093023256
2,44,30.83980484100175,80,65,548.0,504.0,494,False,0.020242914979757085
3,45,31.042991534995963,78,62,571.0,520.0,512,False,0.015625
4,46,30.981988358005765,77,67,611.0,565.0,560,False,0.008928571428571428
5,47,30.967231213006016,70,60,476.0,442.0,430,False,0.027906976744186046
6,48,30.755657307003275,72,65,546.0,503.0,492,False,0.022357723577235773
7,49,31.464374932998908,84,69,744.0,670.0,641,False,0.0452418096723869
8,51,31.866224056000647,76,68,288.0,273.0,253,False,0.07905138339920949
9,52,31.87107764800021,74,68,338.0,324.0,302,False,0.0728476821192053
10,53,31.864353967997886,72,62,246.0,230.0,226,False,0.017699115044247787
11,54,31.900990841997555,76,68,262.0,247.0,242,False,0.02066115702479339
12,55,31.82459232200199,74,62,236.0,212.0,211,False,0.004739336492890996
13,56,31.784635233998415,71,64,246.0,228.0,213,False,0.07042253521126761
14,57,32.26586686600058,77,67,330.0,303.0,293,False,0.034129692832764506
15,58,31.798191497997323,75,65,312.0,300.0,288,False,0.041666666666666664
16,59,31.65540618999512,70,60,304.0,288.0,279,False,0.03225806451612903
17,61,30.63275224899553,44,38,155.0,142.0,138,False,0.028985507246376812
18,62,30.72537024600024,44,40,170.0,156.0,146,False,0.0684931506849315
19,63,30.55997410100099,41,38,156.0,148.0,145,False,0.020689655172413793
20,64,30.606724889999896,46,39,147.0,135.0,131,False,0.030534351145038167
21,65,30.62660795800184,46,40,191.0,176.0,161,False,0.09316770186335403
22,a1,33.383430406000116,86,75,286.0,266.0,253,False,0.05138339920948617
23,a2,33.374519607001275,86,78,283.0,266.0,252,False,0.05555555555555555
24,a3,33.636586594999244,87,77,263.0,245.0,232,False,0.05603448275862069
25,a4,33.91258803900564,87,74,272.0,241.0,234,False,0.029914529914529916
26,a5,33.44013700200594,87,75,264.0,243.0,236,False,0.029661016949152543
27,b1,31.877967153995996,44,41,78.0,72.0,69,False,0.043478260869565216
28,b2,32.424214906997804,47,43,87.0,82.0,76,False,0.07894736842105263
29,b3,32.39652444400417,46,40,90.0,80.0,80,True,0.0
30,b4,31.56488974700187,50,43,92.0,85.0,79,False,0.0759493670886076
31,b5,32.1224773310023,45,42,78.0,75.0,72,False,0.041666666666666664
32,c1,37.381996957999945,100,89,254.0,236.0,227,False,0.039647577092511016
33,c2,36.4029198979988,101,85,253.0,227.0,219,False,0.0365296803652968
34,c3,37.37396380300197,92,86,270.0,254.0,243,False,0.04526748971193416
35,c4,38.9408652389975,101,88,260.0,239.0,219,False,0.091324200913242
36,c5,36.72218872100348,97,86,234.0,219.0,215,False,0.018604651162790697
37,d1,36.966878790997725,49,46,71.0,67.0,60,False,0.11666666666666667
38,d2,32.80986995400599,48,47,70.0,69.0,66,False,0.045454545454545456
39,d3,35.69552362000104,52,45,83.0,75.0,72,False,0.041666666666666664
40,d4,33.75021162799385,51,47,67.0,66.0,62,False,0.06451612903225806
41,d5,32.80682016300125,50,45,69.0,64.0,61,False,0.04918032786885246
