[2024-10-06 17:30:40,806][INFO] Step 1: size: 1, coverage: 9.67%, cost: 23.0
[2024-10-06 17:30:40,816][INFO] Step 2: size: 2, coverage: 18.67%, cost: 47.0
[2024-10-06 17:30:40,827][INFO] Step 3: size: 3, coverage: 27.33%, cost: 120.0
[2024-10-06 17:30:40,837][INFO] Step 4: size: 4, coverage: 34.67%, cost: 143.0
[2024-10-06 17:30:40,847][INFO] Step 5: size: 5, coverage: 41.00%, cost: 152.0
[2024-10-06 17:30:40,857][INFO] Step 6: size: 6, coverage: 47.00%, cost: 165.0
[2024-10-06 17:30:40,867][INFO] Step 7: size: 7, coverage: 53.00%, cost: 215.0
[2024-10-06 17:30:40,877][INFO] Step 8: size: 8, coverage: 58.33%, cost: 245.0
[2024-10-06 17:30:40,887][INFO] Step 9: size: 9, coverage: 63.67%, cost: 293.0
[2024-10-06 17:30:40,897][INFO] Step 10: size: 10, coverage: 68.67%, cost: 324.0
[2024-10-06 17:30:40,907][INFO] Step 11: size: 11, coverage: 73.00%, cost: 357.0
[2024-10-06 17:30:40,917][INFO] Step 12: size: 12, coverage: 76.67%, cost: 359.0
[2024-10-06 17:30:40,926][INFO] Step 13: size: 13, coverage: 80.00%, cost: 442.0
[2024-10-06 17:30:40,936][INFO] Step 14: size: 14, coverage: 83.00%, cost: 467.0
[2024-10-06 17:30:40,946][INFO] Step 15: size: 15, coverage: 85.67%, cost: 495.0
[2024-10-06 17:30:40,956][INFO] Step 16: size: 16, coverage: 88.00%, cost: 497.0
[2024-10-06 17:30:40,966][INFO] Step 17: size: 17, coverage: 90.33%, cost: 511.0
[2024-10-06 17:30:40,976][INFO] Step 18: size: 18, coverage: 92.33%, cost: 559.0
[2024-10-06 17:30:40,986][INFO] Step 19: size: 19, coverage: 94.00%, cost: 561.0
[2024-10-06 17:30:40,996][INFO] Step 20: size: 20, coverage: 95.67%, cost: 571.0
[2024-10-06 17:30:41,006][INFO] Step 21: size: 21, coverage: 97.33%, cost: 635.0
[2024-10-06 17:30:41,016][INFO] Step 22: size: 22, coverage: 98.33%, cost: 639.0
[2024-10-06 17:30:41,026][INFO] Step 23: size: 23, coverage: 99.33%, cost: 664.0
[2024-10-06 17:30:41,037][INFO] Step 24: size: 24, coverage: 100.00%, cost: 694.0
[2024-10-06 18:49:34,437][INFO] Step 1: size: 1, coverage: 9.67%, cost: 23.0
[2024-10-06 18:49:34,448][INFO] Step 2: size: 2, coverage: 18.67%, cost: 47.0
[2024-10-06 18:49:34,458][INFO] Step 3: size: 3, coverage: 27.33%, cost: 120.0
[2024-10-06 18:49:34,469][INFO] Step 4: size: 4, coverage: 34.67%, cost: 143.0
[2024-10-06 18:49:34,479][INFO] Step 5: size: 5, coverage: 41.00%, cost: 152.0
[2024-10-06 18:49:34,489][INFO] Step 6: size: 6, coverage: 47.00%, cost: 165.0
[2024-10-06 18:49:34,500][INFO] Step 7: size: 7, coverage: 53.00%, cost: 215.0
[2024-10-06 18:49:34,510][INFO] Step 8: size: 8, coverage: 58.33%, cost: 245.0
[2024-10-06 18:49:34,520][INFO] Step 9: size: 9, coverage: 63.67%, cost: 293.0
[2024-10-06 18:49:34,530][INFO] Step 10: size: 10, coverage: 68.67%, cost: 324.0
[2024-10-06 18:49:34,540][INFO] Step 11: size: 11, coverage: 73.00%, cost: 357.0
[2024-10-06 18:49:34,549][INFO] Step 12: size: 12, coverage: 76.67%, cost: 359.0
[2024-10-06 18:49:34,559][INFO] Step 13: size: 13, coverage: 80.00%, cost: 442.0
[2024-10-06 18:49:34,569][INFO] Step 14: size: 14, coverage: 83.00%, cost: 467.0
[2024-10-06 18:49:34,579][INFO] Step 15: size: 15, coverage: 85.67%, cost: 495.0
[2024-10-06 18:49:34,589][INFO] Step 16: size: 16, coverage: 88.00%, cost: 497.0
[2024-10-06 18:49:34,599][INFO] Step 17: size: 17, coverage: 90.33%, cost: 511.0
[2024-10-06 18:49:34,609][INFO] Step 18: size: 18, coverage: 92.33%, cost: 559.0
[2024-10-06 18:49:34,619][INFO] Step 19: size: 19, coverage: 94.00%, cost: 561.0
[2024-10-06 18:49:34,629][INFO] Step 20: size: 20, coverage: 95.67%, cost: 571.0
